date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:01	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2008:58:59%20GMT	http://103.146.30.155:82/robots.txt		(from )
16:01:01	72431/72431	---MC-	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2008:58:54%20GMT	http://103.146.30.155:82/recruit/recruitCrew	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/recruit/recruitCrew.html	(from )
16:01:02	6654/6654	---M--	200	added ('OK')	text/css	etag:%2219fe-526fcb99950c0%22	http://103.146.30.155:82/assets/bootstraptable/bootstrap-table.css	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/bootstraptable/bootstrap-table.css	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:02	144877/144877	---M-Z	200	added ('OK')	text/css	etag:W/%22235ed-iVElpFIqOxDuetoG7mUDWHy/lcU%22	https://cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/css/bootstrap.min.css	C:/xampp/htdocs/recruiter_crew/recruiter_web/cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/css/bootstrap.min.css	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:02	59305/59305	---M--	200	added ('OK')	text/css	etag:%22e7a9-5d7738230cb40%22	http://103.146.30.155:82/assets/adminlte320/plugins/fontawesome-free/css/all.min.css	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/adminlte320/plugins/fontawesome-free/css/all.min.css	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:03	11967/11967	---M--	200	added ('OK')	text/css	etag:%222ebf-5d7738230cb40%22	http://103.146.30.155:82/assets/adminlte320/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/adminlte320/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:04	17760/17760	---M--	200	added ('OK')	image/png	etag:%224560-521a28f1cc840%22	http://103.146.30.155:82/assets/img/ban.png	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/img/ban.png	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:05	29749/29749	---M--	200	added ('OK')	image/png	etag:%227435-508c00853b580%22	http://103.146.30.155:82/assets/img/psj.png	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/img/psj.png	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:06	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2008:59:05%20GMT	http://103.146.30.155:82/assets/js/vendor/jquery-slim.min.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/js/vendor/jquery-slim.min.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:06	268039/268039	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-41707%22	https://code.jquery.com/jquery-3.2.1.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/code.jquery.com/jquery-3.2.1.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:06	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bf30-qVRYMYA7E1nP7tR+O01rrmjkDpk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/js/bootstrap.min.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/js/bootstrap.min.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:08	7054/7054	---M--	200	added ('OK')	application/javascript	etag:%221b8e-5984f03f85d00%22	http://103.146.30.155:82/assets/js/ajaxfileupload.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/js/ajaxfileupload.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:09	5797/5797	---M--	200	added ('OK')	application/javascript	etag:%2216a5-592cec950fe80%22	http://103.146.30.155:82/assets/js/function.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/js/function.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:15	89152/89152	---M--	200	added ('OK')	application/javascript	etag:%2215c40-526fcb99950c0%22	http://103.146.30.155:82/assets/bootstraptable/bootstrap-table.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/bootstraptable/bootstrap-table.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:15	58862/58862	---M--	200	added ('OK')	application/javascript	etag:%22e5ee-5d7738230cb40%22	http://103.146.30.155:82/assets/adminlte320/plugins/moment/moment.min.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/adminlte320/plugins/moment/moment.min.js	(from http://103.146.30.155:82/recruit/recruitCrew)
16:01:16	61588/61588	---M--	200	added ('OK')	application/javascript	etag:%22f094-5d7738230cb40%22	http://103.146.30.155:82/assets/adminlte320/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js	C:/xampp/htdocs/recruiter_crew/recruiter_web/103.146.30.155_82/assets/adminlte320/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js	(from http://103.146.30.155:82/recruit/recruitCrew)
